reading loguai file ../../../data//107network.loguai2
#factors=731
reading function tables.done reading loguai file
normalizing #tables=86
done normalizing
prob.N=1
param.gamma=0.0001
iter=0, primal_obj=1678.27, best_primal_obj=1678.27, dual_obj=1711, relaxed_primal=1711.71, relaxed_dual=1711.71, grad_l2=6.48212, infea_inf(ratio=max/min)=e^(120.71), int_gap=651.654, pow_l1=inf, time=53.5737
iter=1, primal_obj=1695.33, best_primal_obj=1695.33, dual_obj=1711.01, relaxed_primal=1711.01, relaxed_dual=1711.02, grad_l2=1.2984, infea_inf(ratio=max/min)=e^(63.4768), int_gap=68.462, pow_l1=inf, time=104.292
iter=2, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.02, relaxed_primal=1711.01, relaxed_dual=1711.03, grad_l2=0.886888, infea_inf(ratio=max/min)=e^(119.99), int_gap=53.1327, pow_l1=inf, time=153.227
iter=3, primal_obj=1697, best_primal_obj=1711, dual_obj=1711.28, relaxed_primal=1711, relaxed_dual=1711.28, grad_l2=0.491024, infea_inf(ratio=max/min)=e^(120.896), int_gap=73.2654, pow_l1=inf, time=203.655
iter=4, primal_obj=1709, best_primal_obj=1711, dual_obj=1711.21, relaxed_primal=1711, relaxed_dual=1711.21, grad_l2=0.750569, infea_inf(ratio=max/min)=e^(120.653), int_gap=57.0117, pow_l1=inf, time=253.148
iter=5, primal_obj=1700, best_primal_obj=1711, dual_obj=1711.15, relaxed_primal=1711, relaxed_dual=1711.16, grad_l2=0.566161, infea_inf(ratio=max/min)=e^(120.077), int_gap=64.4334, pow_l1=inf, time=302.509
iter=6, primal_obj=1710, best_primal_obj=1711, dual_obj=1711.17, relaxed_primal=1711, relaxed_dual=1711.17, grad_l2=0.702279, infea_inf(ratio=max/min)=e^(120), int_gap=49.9996, pow_l1=inf, time=352.442
iter=7, primal_obj=1705, best_primal_obj=1711, dual_obj=1711.1, relaxed_primal=1711, relaxed_dual=1711.11, grad_l2=0.559939, infea_inf(ratio=max/min)=e^(120), int_gap=50.3421, pow_l1=inf, time=402.244
iter=8, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.12, relaxed_primal=1711, relaxed_dual=1711.12, grad_l2=0.631961, infea_inf(ratio=max/min)=e^(120), int_gap=38.1746, pow_l1=inf, time=451.772
iter=9, primal_obj=1707, best_primal_obj=1711, dual_obj=1711.12, relaxed_primal=1711, relaxed_dual=1711.12, grad_l2=0.483923, infea_inf(ratio=max/min)=e^(120), int_gap=42.3421, pow_l1=inf, time=501.774
iter=10, primal_obj=1711, best_primal_obj=1711, dual_obj=1711.08, relaxed_primal=1711, relaxed_dual=1711.09, grad_l2=0.650888, infea_inf(ratio=max/min)=e^(120), int_gap=40.354, pow_l1=inf, time=553.986
iter=11, primal_obj=1709, best_primal_obj=1711, dual_obj=1711.09, relaxed_primal=1711, relaxed_dual=1711.09, grad_l2=0.447342, infea_inf(ratio=max/min)=e^(120), int_gap=28.3421, pow_l1=inf, time=604.52
