reading loguai file ../../../data/107network//107network.loguai2
#factors=1864
reading function tables.done reading loguai file
normalizing #tables=189
done normalizing
prob.N=1
param.gamma=0.0001
iter=0, primal_obj=-8e+300, best_primal_obj=-1e+100, dual_obj=3733, relaxed_primal=3734.84, relaxed_dual=3734.84, grad_l2=10.4017, infea_inf(ratio=max/min)=e^(120.962), int_gap=1713.57, pow_l1=inf, time=446.976
iter=1, primal_obj=-1.2e+301, best_primal_obj=-1e+100, dual_obj=3733.05, relaxed_primal=3733.11, relaxed_dual=3733.13, grad_l2=2.28629, infea_inf(ratio=max/min)=e^(115.134), int_gap=471.159, pow_l1=inf, time=892.993
iter=2, primal_obj=-2e+300, best_primal_obj=-1e+100, dual_obj=3733.33, relaxed_primal=3733.07, relaxed_dual=3733.38, grad_l2=1.8381, infea_inf(ratio=max/min)=e^(120), int_gap=341.223, pow_l1=inf, time=1323.26
iter=3, primal_obj=-8e+300, best_primal_obj=-1e+100, dual_obj=3734.04, relaxed_primal=3733.04, relaxed_dual=3734.06, grad_l2=1.65977, infea_inf(ratio=max/min)=e^(122.355), int_gap=474.569, pow_l1=inf, time=1766.97
iter=4, primal_obj=3715.67, best_primal_obj=3715.67, dual_obj=3734.47, relaxed_primal=3733.03, relaxed_dual=3734.49, grad_l2=1.78667, infea_inf(ratio=max/min)=e^(120.191), int_gap=339.467, pow_l1=inf, time=2209.92
iter=5, primal_obj=-6e+300, best_primal_obj=3715.67, dual_obj=3734.35, relaxed_primal=3733.01, relaxed_dual=3734.35, grad_l2=1.32841, infea_inf(ratio=max/min)=e^(121.707), int_gap=350.602, pow_l1=inf, time=2654.39
iter=6, primal_obj=3709, best_primal_obj=3715.67, dual_obj=3734.26, relaxed_primal=3733.01, relaxed_dual=3734.26, grad_l2=1.58213, infea_inf(ratio=max/min)=e^(120.633), int_gap=328.61, pow_l1=inf, time=3090.48
iter=7, primal_obj=-2e+300, best_primal_obj=3715.67, dual_obj=3734.16, relaxed_primal=3733.01, relaxed_dual=3734.17, grad_l2=1.42707, infea_inf(ratio=max/min)=e^(120.895), int_gap=310.029, pow_l1=inf, time=3522.13
iter=8, primal_obj=3715, best_primal_obj=3715.67, dual_obj=3734.05, relaxed_primal=3733.01, relaxed_dual=3734.06, grad_l2=1.50513, infea_inf(ratio=max/min)=e^(120.384), int_gap=326.82, pow_l1=inf, time=3931.16
iter=9, primal_obj=-4e+300, best_primal_obj=3715.67, dual_obj=3734.14, relaxed_primal=3733.01, relaxed_dual=3734.14, grad_l2=1.3863, infea_inf(ratio=max/min)=e^(121.992), int_gap=292.868, pow_l1=inf, time=4410.83
iter=10, primal_obj=-6e+300, best_primal_obj=3715.67, dual_obj=3734.13, relaxed_primal=3733, relaxed_dual=3734.13, grad_l2=1.29201, infea_inf(ratio=max/min)=e^(120.039), int_gap=306.618, pow_l1=inf, time=4930.92
iter=11, primal_obj=-2e+300, best_primal_obj=3715.67, dual_obj=3734.02, relaxed_primal=3733.01, relaxed_dual=3734.02, grad_l2=1.47368, infea_inf(ratio=max/min)=e^(120.504), int_gap=304.326, pow_l1=inf, time=5473.54
iter=12, primal_obj=-2e+300, best_primal_obj=3715.67, dual_obj=3734.02, relaxed_primal=3733.01, relaxed_dual=3734.02, grad_l2=1.40918, infea_inf(ratio=max/min)=e^(120.279), int_gap=295.449, pow_l1=inf, time=5837.68
