reading model...done
reading test data...done
2.81522
prob.D=5001
prob.K=3884
prob.N=1
param.rho=0.25
param.eta=0.1
iter=1, decoded_t=106.556, best_decoded=106.556, dinf=0.33364, p_inf=0.35892, acc=0.888343, uni_act_size=1, area1=0, area23=0, area4=0, bi_act_size=1, bi_ever_nnz_msg=0, uni_search=1.1594e-05, uni_subsolve=2.37505e-06, bi_search=3.35299e-06, bi_subsolve=2.79397e-06, maintain=1.25699e-06, construct=0, overall time=4.00421
iter=2, decoded_t=191.59, best_decoded=191.59, dinf=0.13687, p_inf=0.619136, acc=0.910674, uni_act_size=1.5, area1=0, area23=0, area4=0, bi_act_size=2, bi_ever_nnz_msg=0, uni_search=1.8998e-05, uni_subsolve=4.68001e-06, bi_search=4.32995e-06, bi_subsolve=5.65697e-06, maintain=2.51498e-06, construct=0, overall time=4.05158
iter=3, decoded_t=267.239, best_decoded=267.239, dinf=0.108704, p_inf=0.79882, acc=0.933006, uni_act_size=2, area1=0, area23=0, area4=0, bi_act_size=3.33333, bi_ever_nnz_msg=0, uni_search=2.5493e-05, uni_subsolve=6.84499e-06, bi_search=5.23793e-06, bi_subsolve=8.17102e-06, maintain=3.77098e-06, construct=0, overall time=4.09875
iter=4, decoded_t=335.73, best_decoded=335.73, dinf=0.0877306, p_inf=0.913613, acc=0.932782, uni_act_size=2.5, area1=0, area23=0, area4=0, bi_act_size=5, bi_ever_nnz_msg=0, uni_search=3.1569e-05, uni_subsolve=9.29e-06, bi_search=5.93695e-06, bi_subsolve=1.1663e-05, maintain=5.09899e-06, construct=0, overall time=4.14619
iter=5, decoded_t=399.311, best_decoded=399.311, dinf=0.0847719, p_inf=0.976867, acc=0.932559, uni_act_size=3, area1=0, area23=0, area4=0, bi_act_size=7, bi_ever_nnz_msg=0, uni_search=3.8064e-05, uni_subsolve=1.1664e-05, bi_search=6.77496e-06, bi_subsolve=1.5923e-05, maintain=6.56594e-06, construct=0, overall time=4.19309
iter=6, decoded_t=451.091, best_decoded=451.091, dinf=0.084511, p_inf=0.999886, acc=0.954891, uni_act_size=3.5, area1=0, area23=0, area4=0, bi_act_size=9.33333, bi_ever_nnz_msg=0, uni_search=4.39301e-05, uni_subsolve=1.795e-05, bi_search=7.54296e-06, bi_subsolve=2.1789e-05, maintain=8.2429e-06, construct=0, overall time=4.24015
iter=7, decoded_t=486.003, best_decoded=486.003, dinf=0.0842957, p_inf=0.992153, acc=0.954667, uni_act_size=4, area1=0, area23=0, area4=0, bi_act_size=12, bi_ever_nnz_msg=0, uni_search=5.04251e-05, uni_subsolve=2.0324e-05, bi_search=8.24092e-06, bi_subsolve=2.7725e-05, maintain=1.01279e-05, construct=0, overall time=4.2875
iter=8, decoded_t=519.477, best_decoded=519.477, dinf=0.0903691, p_inf=0.961549, acc=0.976999, uni_act_size=4.5, area1=0, area23=0, area4=0, bi_act_size=15, bi_ever_nnz_msg=0, uni_search=5.6781e-05, uni_subsolve=2.7658e-05, bi_search=9.42795e-06, bi_subsolve=3.4639e-05, maintain=1.23619e-05, construct=0, overall time=4.33429
iter=9, decoded_t=551.843, best_decoded=551.843, dinf=0.106285, p_inf=0.914558, acc=0.976775, uni_act_size=5, area1=0, area23=0, area4=0, bi_act_size=18.3333, bi_ever_nnz_msg=0, uni_search=6.39741e-05, uni_subsolve=3.01719e-05, bi_search=1.0127e-05, bi_subsolve=4.3789e-05, maintain=1.48059e-05, construct=0, overall time=4.38161
iter=10, decoded_t=580.8, best_decoded=580.8, dinf=0.111325, p_inf=0.85645, acc=0.976552, uni_act_size=5.5, area1=0, area23=0, area4=0, bi_act_size=22, bi_ever_nnz_msg=0, uni_search=7.04001e-05, uni_subsolve=3.2756e-05, bi_search=1.08249e-05, bi_subsolve=5.224e-05, maintain=1.73209e-05, construct=0, overall time=4.42842
iter=11, decoded_t=609.307, best_decoded=609.307, dinf=0.108478, p_inf=0.791458, acc=0.976329, uni_act_size=6, area1=0, area23=0, area4=0, bi_act_size=26, bi_ever_nnz_msg=0, uni_search=7.7035e-05, uni_subsolve=3.89019e-05, bi_search=1.1663e-05, bi_subsolve=6.3764e-05, maintain=2.01839e-05, construct=0, overall time=4.4757
