reading uai file ../../../data//ImageAlignment/uai/fileforGal_400markers.uai
done reading uai file
normalizing #tables=3334
prob.avg_domain_size=54.985
prob.N=1
param.rho=1
param.eta=1
@0: T=400, n=10523771, nf=0, m=0, me=342864
iter=0, #inner=1, relaxed-p-obj=4280.002, decoded_t=-27724.7, best_decoded=-27724.7, eta=1, p_inf=1.1, d_inf=17, gap=1, nnz=18124(0.0082), time=7.1
iter=5, #inner=90, relaxed-p-obj=290.9439, decoded_t=-21354.78, best_decoded=-21354.78, eta=1, p_inf=0.67, d_inf=0.1, gap=2.3, nnz=24223(0.013), time=15
iter=10, #inner=60, relaxed-p-obj=65.73466, decoded_t=-20868.98, best_decoded=-20868.98, eta=1, p_inf=0.53, d_inf=0.059, gap=14, nnz=30399(0.017), time=24
iter=15, #inner=57, relaxed-p-obj=1.076129, decoded_t=-20691.18, best_decoded=-20691.18, eta=1, p_inf=0.43, d_inf=0.03, gap=1.2e+03, nnz=32232(0.018), time=32
iter=20, #inner=56, relaxed-p-obj=-36.41429, decoded_t=-20191.83, best_decoded=-20191.83, eta=1, p_inf=0.34, d_inf=0.0008, gap=44, nnz=33287(0.018), time=41
iter=25, #inner=55, relaxed-p-obj=-66.15792, decoded_t=-20012.7, best_decoded=-20012.7, eta=1, p_inf=0.34, d_inf=0.0017, gap=29, nnz=34018(0.018), time=49
iter=30, #inner=55, relaxed-p-obj=-108.5802, decoded_t=-19088.78, best_decoded=-19088.78, eta=1, p_inf=0.38, d_inf=0.0013, gap=21, nnz=34781(0.018), time=57
iter=35, #inner=55, relaxed-p-obj=-200.1281, decoded_t=-18506.61, best_decoded=-18506.61, eta=1, p_inf=0.43, d_inf=0.0071, gap=13, nnz=35559(0.018), time=66
iter=40, #inner=54, relaxed-p-obj=-292.8757, decoded_t=-17129.14, best_decoded=-17129.14, eta=1, p_inf=0.39, d_inf=0.011, gap=9.5, nnz=36342(0.018), time=75
iter=45, #inner=54, relaxed-p-obj=-399.3271, decoded_t=-15692.12, best_decoded=-15692.12, eta=1, p_inf=0.33, d_inf=0.0042, gap=7.5, nnz=37102(0.018), time=83
iter=50, #inner=54, relaxed-p-obj=-456.6354, decoded_t=-15048.26, best_decoded=-15048.26, eta=1, p_inf=0.33, d_inf=0.0016, gap=7.1, nnz=37833(0.018), time=92
iter=55, #inner=54, relaxed-p-obj=-523.2007, decoded_t=-14617.14, best_decoded=-14617.14, eta=1, p_inf=0.33, d_inf=0.018, gap=6.7, nnz=38517(0.019), time=1e+02
iter=60, #inner=53, relaxed-p-obj=-654.2282, decoded_t=-14220.18, best_decoded=-14220.18, eta=1, p_inf=0.32, d_inf=0.0032, gap=5.6, nnz=39243(0.019), time=1.1e+02
iter=65, #inner=53, relaxed-p-obj=-782.5349, decoded_t=-13266, best_decoded=-13266, eta=1, p_inf=0.37, d_inf=0.029, gap=4.9, nnz=39939(0.019), time=1.2e+02
iter=70, #inner=53, relaxed-p-obj=-979.147, decoded_t=-12690.5, best_decoded=-12690.5, eta=1, p_inf=0.38, d_inf=0.004, gap=4, nnz=40638(0.019), time=1.3e+02
iter=75, #inner=53, relaxed-p-obj=-1207.049, decoded_t=-11902.5, best_decoded=-11902.5, eta=1, p_inf=0.44, d_inf=0.0049, gap=3.3, nnz=41289(0.019), time=1.4e+02
iter=80, #inner=52, relaxed-p-obj=-1530.928, decoded_t=-10587.93, best_decoded=-10587.93, eta=1, p_inf=0.4, d_inf=0.019, gap=2.5, nnz=41983(0.019), time=1.5e+02
iter=85, #inner=52, relaxed-p-obj=-1779.621, decoded_t=-9845.077, best_decoded=-9845.077, eta=1, p_inf=0.36, d_inf=0.0073, gap=2.2, nnz=42635(0.019), time=1.5e+02
iter=90, #inner=52, relaxed-p-obj=-2014.772, decoded_t=-8737.051, best_decoded=-8737.051, eta=1, p_inf=0.38, d_inf=0.0075, gap=1.9, nnz=43268(0.019), time=1.6e+02
iter=95, #inner=52, relaxed-p-obj=-2411.36, decoded_t=-8319.079, best_decoded=-8319.079, eta=1, p_inf=0.45, d_inf=0.028, gap=1.5, nnz=43879(0.019), time=1.7e+02
iter=100, #inner=52, relaxed-p-obj=-3124.062, decoded_t=-7811.264, best_decoded=-7811.264, eta=1, p_inf=0.38, d_inf=0.034, gap=1, nnz=44453(0.019), time=1.8e+02
iter=105, #inner=52, relaxed-p-obj=-3398.706, decoded_t=-7735.182, best_decoded=-7735.182, eta=1, p_inf=0.34, d_inf=0.07, gap=0.88, nnz=44993(0.019), time=1.9e+02
iter=110, #inner=56, relaxed-p-obj=-3879.923, decoded_t=-7783.851, best_decoded=-7735.182, eta=1, p_inf=0.41, d_inf=0.02, gap=0.68, nnz=39635(0.017), time=2e+02
iter=115, #inner=51, relaxed-p-obj=-4470.652, decoded_t=-7365.333, best_decoded=-7365.333, eta=1, p_inf=0.48, d_inf=0.028, gap=0.48, nnz=45782(0.019), time=2.1e+02
iter=120, #inner=51, relaxed-p-obj=-5589.572, decoded_t=-7164.581, best_decoded=-7164.581, eta=1, p_inf=0.37, d_inf=0.032, gap=0.2, nnz=29352(0.012), time=2.2e+02
iter=125, #inner=96, relaxed-p-obj=-5647.162, decoded_t=-7164.581, best_decoded=-7164.581, eta=1, p_inf=0.28, d_inf=0.00071, gap=0.19, nnz=24788(0.01), time=2.3e+02
iter=130, #inner=96, relaxed-p-obj=-5788.495, decoded_t=-7085.259, best_decoded=-7085.259, eta=1, p_inf=0.28, d_inf=0.00093, gap=0.17, nnz=24926(0.01), time=2.3e+02
