TRWS  Tests ...
loading .h5 file ../../../data//ImageAlignment/uai/fileforGal_400markers.uai.h5................done
algorithm constructing...
algorithm starting...
best_value=-6945.33, lower_bound=6673.7, time=0.147809
best_value=-6943.39, lower_bound=6868.85, time=0.183792
best_value=-6943.39, lower_bound=6892.7, time=0.21996
best_value=-6943.39, lower_bound=6896.33, time=0.256537
best_value=-6943.39, lower_bound=6897.83, time=0.291957
best_value=-6943.39, lower_bound=6899.04, time=0.327739
best_value=-6943.39, lower_bound=6900.05, time=0.363259
best_value=-6943.39, lower_bound=6900.87, time=0.399075
best_value=-6943.39, lower_bound=6901.55, time=0.435068
best_value=-6943.39, lower_bound=6902.11, time=0.470827
best_value=-6943.39, lower_bound=6902.56, time=0.506612
best_value=-6943.39, lower_bound=6902.89, time=0.542543
best_value=-6943.39, lower_bound=6903.15, time=0.578606
best_value=-6943.39, lower_bound=6903.37, time=0.614149
best_value=-6907.64, lower_bound=6903.53, time=0.649751
best_value=-6907.64, lower_bound=6903.66, time=0.685431
best_value=-6907.64, lower_bound=6903.78, time=0.72122
best_value=-6907.64, lower_bound=6903.88, time=0.760769
best_value=-6907.64, lower_bound=6903.98, time=0.796485
best_value=-6907.64, lower_bound=6904.07, time=0.832237
best_value=-6907.64, lower_bound=6904.15, time=0.868266
best_value=-6907.64, lower_bound=6904.22, time=0.903911
best_value=-6907.64, lower_bound=6904.29, time=0.939485
best_value=-6907.64, lower_bound=6904.35, time=0.975262
best_value=-6907.64, lower_bound=6904.4, time=1.01095
best_value=-6907.64, lower_bound=6904.45, time=1.04655
best_value=-6907.64, lower_bound=6904.49, time=1.08271
best_value=-6907.64, lower_bound=6904.53, time=1.11838
best_value=-6907.64, lower_bound=6904.57, time=1.15434
best_value=-6907.64, lower_bound=6904.61, time=1.19033
best_value=-6907.64, lower_bound=6904.64, time=1.22621
best_value=-6907.64, lower_bound=6904.67, time=1.26178
best_value=-6907.64, lower_bound=6904.7, time=1.2973
best_value=-6907.64, lower_bound=6904.72, time=1.3339
best_value=-6907.64, lower_bound=6904.75, time=1.36983
best_value=-6907.64, lower_bound=6904.78, time=1.40574
best_value=-6907.64, lower_bound=6904.8, time=1.44226
best_value=-6907.64, lower_bound=6904.83, time=1.4786
best_value=-6907.64, lower_bound=6904.86, time=1.51453
best_value=-6907.64, lower_bound=6904.89, time=1.55014
best_value=-6907.64, lower_bound=6904.91, time=1.58671
best_value=-6907.64, lower_bound=6904.94, time=1.62254
best_value=-6907.64, lower_bound=6904.96, time=1.65827
best_value=-6907.64, lower_bound=6904.99, time=1.69393
best_value=-6907.64, lower_bound=6905.02, time=1.73066
best_value=-6907.64, lower_bound=6905.04, time=1.76673
best_value=-6907.64, lower_bound=6905.06, time=1.80218
best_value=-6907.64, lower_bound=6905.08, time=1.83815
best_value=-6907.64, lower_bound=6905.1, time=1.87437
best_value=-6907.64, lower_bound=6905.12, time=1.91881
best_value=-6907.64, lower_bound=6905.14, time=1.9548
best_value=-6907.64, lower_bound=6905.15, time=1.99031
best_value=-6907.64, lower_bound=6905.17, time=2.0263
best_value=-6907.64, lower_bound=6905.18, time=2.06205
best_value=-6907.64, lower_bound=6905.2, time=2.09786
best_value=-6907.64, lower_bound=6905.21, time=2.13396
best_value=-6907.64, lower_bound=6905.22, time=2.16949
best_value=-6907.64, lower_bound=6905.23, time=2.20536
best_value=-6907.64, lower_bound=6905.24, time=2.24093
best_value=-6907.64, lower_bound=6905.25, time=2.27688
best_value=-6907.64, lower_bound=6905.26, time=2.31279
best_value=-6907.64, lower_bound=6905.27, time=2.34818
best_value=-6907.64, lower_bound=6905.27, time=2.38396
best_value=-6907.64, lower_bound=6905.28, time=2.42004
best_value=-6907.64, lower_bound=6905.29, time=2.45605
best_value=-6907.64, lower_bound=6905.29, time=2.4918
best_value=-6907.64, lower_bound=6905.3, time=2.52778
best_value=-6907.64, lower_bound=6905.31, time=2.56413
best_value=-6907.64, lower_bound=6905.31, time=2.59978
best_value=-6907.64, lower_bound=6905.32, time=2.63589
best_value=-6907.64, lower_bound=6905.32, time=2.67171
best_value=-6907.64, lower_bound=6905.33, time=2.70749
best_value=-6907.64, lower_bound=6905.33, time=2.74332
best_value=-6907.64, lower_bound=6905.34, time=2.77931
best_value=-6907.64, lower_bound=6905.34, time=2.81554
best_value=-6907.64, lower_bound=6905.35, time=2.85137
best_value=-6907.64, lower_bound=6905.35, time=2.88777
best_value=-6907.64, lower_bound=6905.35, time=2.92351
best_value=-6907.64, lower_bound=6905.36, time=2.95877
best_value=-6907.64, lower_bound=6905.36, time=2.99509
best_value=-6907.64, lower_bound=6905.36, time=3.03095
best_value=-6907.64, lower_bound=6905.37, time=3.06691
best_value=-6907.64, lower_bound=6905.37, time=3.10227
best_value=-6907.64, lower_bound=6905.37, time=3.13754
best_value=-6907.64, lower_bound=6905.38, time=3.17308
best_value=-6907.64, lower_bound=6905.38, time=3.20889
best_value=-6907.64, lower_bound=6905.38, time=3.24477
best_value=-6907.64, lower_bound=6905.39, time=3.28043
best_value=-6907.64, lower_bound=6905.39, time=3.31633
best_value=-6907.64, lower_bound=6905.39, time=3.35194
best_value=-6907.64, lower_bound=6905.39, time=3.38725
best_value=-6907.64, lower_bound=6905.4, time=3.42313
best_value=-6907.64, lower_bound=6905.4, time=3.45887
best_value=-6907.64, lower_bound=6905.4, time=3.49492
best_value=-6907.64, lower_bound=6905.4, time=3.53122
best_value=-6907.64, lower_bound=6905.41, time=3.56726
best_value=-6907.64, lower_bound=6905.41, time=3.60336
best_value=-6907.64, lower_bound=6905.41, time=3.63988
best_value=-6907.64, lower_bound=6905.41, time=3.67564
best_value=-6907.64, lower_bound=6905.41, time=3.71166
best_value=-6907.64, lower_bound=6905.42, time=3.74738
best_value=-6907.64, lower_bound=6905.42, time=3.78281
best_value=-6907.64, lower_bound=6905.42, time=3.81866
best_value=-6907.64, lower_bound=6905.42, time=3.85411
best_value=-6907.64, lower_bound=6905.42, time=3.89009
best_value=-6907.64, lower_bound=6905.42, time=3.93578
best_value=-6907.64, lower_bound=6905.43, time=3.9714
best_value=-6907.64, lower_bound=6905.43, time=4.00736
best_value=-6907.64, lower_bound=6905.43, time=4.04322
