reading uai file ../../../data//deer_rescaled_0034.K20.F100.model.uai
done reading uai file
normalizing #tables=1830
prob.avg_domain_size=21
prob.N=1
param.rho=1
param.eta=1
@0: T=60, n=781830, nf=0, m=0, me=74400
iter=0, #inner=1, relaxed-p-obj=nan, decoded_t=8115.652, best_decoded=8115.652, eta=1, p_inf=2.1e+02, d_inf=2e+03, gap=nan, nnz=144081(0.22), time=0.51
iter=5, #inner=28, relaxed-p-obj=nan, decoded_t=-inf, best_decoded=8115.652, eta=1, p_inf=3.9, d_inf=2.4, gap=nan, nnz=3608(0.0065), time=1.3
iter=10, #inner=143, relaxed-p-obj=nan, decoded_t=-inf, best_decoded=8115.652, eta=1, p_inf=1, d_inf=0.013, gap=nan, nnz=957(0.0072), time=1.8
iter=15, #inner=117, relaxed-p-obj=nan, decoded_t=-inf, best_decoded=8115.652, eta=1, p_inf=1, d_inf=0.018, gap=nan, nnz=1876(0.0089), time=2.4
iter=20, #inner=98, relaxed-p-obj=nan, decoded_t=-inf, best_decoded=8115.652, eta=1, p_inf=1, d_inf=0.016, gap=nan, nnz=2756(0.011), time=3
iter=25, #inner=85, relaxed-p-obj=nan, decoded_t=-inf, best_decoded=8115.652, eta=1, p_inf=1, d_inf=0.021, gap=nan, nnz=3698(0.012), time=3.5
iter=30, #inner=73, relaxed-p-obj=nan, decoded_t=-inf, best_decoded=8115.652, eta=1, p_inf=1, d_inf=0.013, gap=nan, nnz=5016(0.014), time=4.1
iter=35, #inner=63, relaxed-p-obj=nan, decoded_t=-inf, best_decoded=8115.652, eta=1, p_inf=1, d_inf=0.02, gap=nan, nnz=6250(0.016), time=4.7
iter=40, #inner=56, relaxed-p-obj=nan, decoded_t=-inf, best_decoded=8115.652, eta=1, p_inf=1, d_inf=0.014, gap=nan, nnz=7433(0.018), time=5.2
iter=45, #inner=51, relaxed-p-obj=nan, decoded_t=-inf, best_decoded=8115.652, eta=1, p_inf=1, d_inf=0.0058, gap=nan, nnz=8584(0.02), time=5.8
iter=50, #inner=47, relaxed-p-obj=nan, decoded_t=-4577.904, best_decoded=8115.652, eta=1, p_inf=0.95, d_inf=0.015, gap=nan, nnz=9635(0.021), time=6.4
iter=55, #inner=44, relaxed-p-obj=nan, decoded_t=-2951.383, best_decoded=8115.652, eta=1, p_inf=0.93, d_inf=0.013, gap=nan, nnz=10647(0.023), time=7
iter=60, #inner=41, relaxed-p-obj=nan, decoded_t=-2931.265, best_decoded=8115.652, eta=1, p_inf=0.84, d_inf=0.022, gap=nan, nnz=11740(0.025), time=7.6
iter=65, #inner=38, relaxed-p-obj=nan, decoded_t=-3863.121, best_decoded=8115.652, eta=1, p_inf=0.76, d_inf=0.017, gap=nan, nnz=12833(0.027), time=8.3
iter=70, #inner=35, relaxed-p-obj=nan, decoded_t=-9438.372, best_decoded=8115.652, eta=1, p_inf=0.6, d_inf=0.024, gap=nan, nnz=13989(0.028), time=8.9
iter=75, #inner=33, relaxed-p-obj=nan, decoded_t=-5904.087, best_decoded=8115.652, eta=1, p_inf=0.31, d_inf=0.0097, gap=nan, nnz=15259(0.03), time=9.5
iter=80, #inner=32, relaxed-p-obj=nan, decoded_t=4417.827, best_decoded=8115.652, eta=1, p_inf=0.26, d_inf=0.0072, gap=nan, nnz=16432(0.031), time=10
iter=85, #inner=30, relaxed-p-obj=nan, decoded_t=4184.369, best_decoded=8115.652, eta=1, p_inf=0.22, d_inf=0.0083, gap=nan, nnz=17465(0.033), time=11
iter=90, #inner=29, relaxed-p-obj=nan, decoded_t=4441.017, best_decoded=8115.652, eta=1, p_inf=0.2, d_inf=0.014, gap=nan, nnz=18354(0.034), time=12
iter=95, #inner=28, relaxed-p-obj=nan, decoded_t=5164.061, best_decoded=8115.652, eta=1, p_inf=0.18, d_inf=0.0059, gap=nan, nnz=19080(0.035), time=12
iter=100, #inner=28, relaxed-p-obj=nan, decoded_t=4441.017, best_decoded=8115.652, eta=1, p_inf=0.16, d_inf=0.011, gap=nan, nnz=19683(0.035), time=13
iter=105, #inner=27, relaxed-p-obj=nan, decoded_t=5164.061, best_decoded=8115.652, eta=1, p_inf=0.16, d_inf=0.0054, gap=nan, nnz=20225(0.036), time=14
iter=110, #inner=27, relaxed-p-obj=nan, decoded_t=4441.017, best_decoded=8115.652, eta=1, p_inf=0.15, d_inf=0.018, gap=nan, nnz=20741(0.037), time=14
