reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.avg_domain_size=154.378
prob.N=1
param.rho=1
param.eta=1
@0: T=37, n=15506754, nf=0, m=0, me=205669
iter=0, #inner=1, relaxed-p-obj=7.561936e+07, decoded_t=8211.514, best_decoded=8211.514, eta=1, p_inf=4.6e+02, d_inf=1e+03, gap=1, nnz=448934(0.031), time=5.9
iter=5, #inner=1246, relaxed-p-obj=10419.65, decoded_t=9030.516, best_decoded=9030.516, eta=1, p_inf=1.2, d_inf=0.56, gap=0.59, nnz=10503(0.00083), time=25
iter=10, #inner=870, relaxed-p-obj=11103.4, decoded_t=9228.706, best_decoded=9228.706, eta=1, p_inf=0.57, d_inf=0.014, gap=0.49, nnz=15814(0.0012), time=45
iter=15, #inner=757, relaxed-p-obj=11924.46, decoded_t=9382.282, best_decoded=9382.282, eta=1, p_inf=0.49, d_inf=0.0088, gap=0.38, nnz=18062(0.0013), time=67
iter=20, #inner=707, relaxed-p-obj=12381.99, decoded_t=9610.057, best_decoded=9610.057, eta=1, p_inf=0.38, d_inf=0.0093, gap=0.33, nnz=19379(0.0014), time=88
iter=25, #inner=665, relaxed-p-obj=12694.56, decoded_t=9546.211, best_decoded=9610.057, eta=1, p_inf=0.37, d_inf=0.013, gap=0.29, nnz=20729(0.0015), time=1.1e+02
iter=30, #inner=619, relaxed-p-obj=12779.01, decoded_t=9507.035, best_decoded=9610.057, eta=1, p_inf=0.35, d_inf=0.0036, gap=0.28, nnz=22316(0.0016), time=1.3e+02
iter=35, #inner=590, relaxed-p-obj=12803.15, decoded_t=9507.035, best_decoded=9610.057, eta=1, p_inf=0.34, d_inf=0.0026, gap=0.27, nnz=23517(0.0017), time=1.7e+02
iter=40, #inner=564, relaxed-p-obj=12850.72, decoded_t=9507.035, best_decoded=9610.057, eta=1, p_inf=0.33, d_inf=0.0034, gap=0.26, nnz=24673(0.0018), time=1.9e+02
iter=45, #inner=547, relaxed-p-obj=12874.68, decoded_t=9555.42, best_decoded=9610.057, eta=1, p_inf=0.33, d_inf=0.0027, gap=0.26, nnz=25285(0.0018), time=2.1e+02
iter=50, #inner=525, relaxed-p-obj=12939.28, decoded_t=9963.761, best_decoded=9963.761, eta=1, p_inf=0.33, d_inf=0.0032, gap=0.25, nnz=26530(0.0019), time=2.3e+02
