TRWS  Tests ...
loading .h5 file ../../../data//2BBN.uai.h5................done
algorithm constructing...
algorithm starting...
best_value=10100.8, lower_bound=-17262.1, time=0.276187
best_value=10103.6, lower_bound=-16578.1, time=0.33643
best_value=10103.6, lower_bound=-16104.7, time=0.395909
best_value=10103.6, lower_bound=-15718.8, time=0.456574
best_value=10426.5, lower_bound=-15404.8, time=0.516521
best_value=10426.5, lower_bound=-15137.6, time=0.576452
best_value=10641.8, lower_bound=-14898.5, time=0.636576
best_value=10641.8, lower_bound=-14685.2, time=0.696652
best_value=10641.8, lower_bound=-14494, time=0.756924
best_value=10641.8, lower_bound=-14323, time=0.816464
best_value=10641.8, lower_bound=-14175.7, time=0.876601
best_value=10641.8, lower_bound=-14051.3, time=0.936704
best_value=11322.8, lower_bound=-13942.3, time=0.996469
best_value=11322.8, lower_bound=-13844.3, time=1.0568
best_value=11322.8, lower_bound=-13763.4, time=1.11712
best_value=11322.8, lower_bound=-13689.5, time=1.17692
best_value=11455.9, lower_bound=-13626.3, time=1.23707
best_value=11455.9, lower_bound=-13573.2, time=1.29655
best_value=11455.9, lower_bound=-13525.4, time=1.35708
best_value=11455.9, lower_bound=-13484, time=1.41677
best_value=11455.9, lower_bound=-13446.7, time=1.47745
best_value=11455.9, lower_bound=-13413.1, time=1.53705
best_value=11455.9, lower_bound=-13381, time=1.59674
best_value=11455.9, lower_bound=-13351.5, time=1.65712
best_value=11455.9, lower_bound=-13323.4, time=1.71724
best_value=11455.9, lower_bound=-13296.4, time=1.77721
best_value=11455.9, lower_bound=-13270.7, time=1.83708
best_value=11513.7, lower_bound=-13247.2, time=1.9153
best_value=11513.7, lower_bound=-13225.6, time=1.97495
best_value=11513.7, lower_bound=-13205.4, time=2.03513
best_value=11513.7, lower_bound=-13186.2, time=2.09483
best_value=11513.7, lower_bound=-13167.8, time=2.15462
best_value=11513.7, lower_bound=-13149.7, time=2.21449
best_value=11513.7, lower_bound=-13132.1, time=2.27461
best_value=11513.7, lower_bound=-13115, time=2.33416
best_value=11513.7, lower_bound=-13098.4, time=2.39382
best_value=11513.7, lower_bound=-13082.5, time=2.45457
best_value=11513.7, lower_bound=-13067.2, time=2.51429
best_value=11513.7, lower_bound=-13052.6, time=2.57442
best_value=11513.7, lower_bound=-13038.5, time=2.63444
best_value=11513.7, lower_bound=-13025, time=2.69407
best_value=11513.7, lower_bound=-13011.9, time=2.7538
best_value=11513.7, lower_bound=-12999.3, time=2.81389
best_value=11513.7, lower_bound=-12987.1, time=2.87401
