reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.N=1
param.gamma=0.001
iter=0, primal_obj=1913.36, best_primal_obj=1913.36, dual_obj=23090.8, relaxed_primal=23091.8, relaxed_dual=23091.8, grad_l2=13.0553, infea_inf(ratio=max/min)=e^(120), int_gap=661.711, pow_l1=3.53815e+10, time=8.1248
iter=1, primal_obj=1567.92, best_primal_obj=1913.36, dual_obj=23033, relaxed_primal=23053.1, relaxed_dual=23033.1, grad_l2=10.3157, infea_inf(ratio=max/min)=e^(120.004), int_gap=601.933, pow_l1=3.5545e+10, time=9.71966
iter=2, primal_obj=2651.29, best_primal_obj=2651.29, dual_obj=23000.1, relaxed_primal=23026.9, relaxed_dual=23000.3, grad_l2=9.84823, infea_inf(ratio=max/min)=e^(120), int_gap=627.407, pow_l1=3.58676e+10, time=11.2694
iter=3, primal_obj=2306.02, best_primal_obj=2651.29, dual_obj=22963.2, relaxed_primal=23010.4, relaxed_dual=22963.3, grad_l2=9.84904, infea_inf(ratio=max/min)=e^(120.001), int_gap=618.74, pow_l1=3.62309e+10, time=12.8165
iter=4, primal_obj=2250.65, best_primal_obj=2651.29, dual_obj=22938.7, relaxed_primal=22980.3, relaxed_dual=22938.9, grad_l2=9.48583, infea_inf(ratio=max/min)=e^(120.113), int_gap=637.62, pow_l1=3.66453e+10, time=14.3584
iter=5, primal_obj=2092.12, best_primal_obj=2651.29, dual_obj=22916.1, relaxed_primal=22982.3, relaxed_dual=22916.2, grad_l2=9.67717, infea_inf(ratio=max/min)=e^(120), int_gap=642.709, pow_l1=3.70564e+10, time=15.8837
iter=6, primal_obj=2563.66, best_primal_obj=2651.29, dual_obj=22893.8, relaxed_primal=22956.1, relaxed_dual=22893.9, grad_l2=10.0788, infea_inf(ratio=max/min)=e^(120), int_gap=638.877, pow_l1=3.74987e+10, time=17.4154
iter=7, primal_obj=2229.77, best_primal_obj=2651.29, dual_obj=22872.1, relaxed_primal=22951, relaxed_dual=22872.2, grad_l2=9.53248, infea_inf(ratio=max/min)=e^(120), int_gap=644.38, pow_l1=3.79749e+10, time=18.9379
iter=8, primal_obj=3001.25, best_primal_obj=3001.25, dual_obj=22853.5, relaxed_primal=22923.8, relaxed_dual=22853.6, grad_l2=9.94178, infea_inf(ratio=max/min)=e^(120), int_gap=649.142, pow_l1=3.84251e+10, time=20.4806
iter=9, primal_obj=1916.69, best_primal_obj=3001.25, dual_obj=22836.9, relaxed_primal=22936.5, relaxed_dual=22837, grad_l2=9.82571, infea_inf(ratio=max/min)=e^(120), int_gap=642.905, pow_l1=3.89051e+10, time=22.0249
iter=10, primal_obj=2773.73, best_primal_obj=3001.25, dual_obj=22820, relaxed_primal=22923.9, relaxed_dual=22820.1, grad_l2=10.5254, infea_inf(ratio=max/min)=e^(120), int_gap=644.695, pow_l1=3.9385e+10, time=23.5777
iter=11, primal_obj=2755.16, best_primal_obj=3001.25, dual_obj=22804.5, relaxed_primal=22894.1, relaxed_dual=22804.6, grad_l2=9.83957, infea_inf(ratio=max/min)=e^(120), int_gap=647.531, pow_l1=3.99183e+10, time=25.1395
iter=12, primal_obj=2473.99, best_primal_obj=3001.25, dual_obj=22787.7, relaxed_primal=22881.9, relaxed_dual=22787.8, grad_l2=10.5171, infea_inf(ratio=max/min)=e^(120.064), int_gap=654.075, pow_l1=4.04035e+10, time=26.7234
iter=13, primal_obj=2106.78, best_primal_obj=3001.25, dual_obj=22775.3, relaxed_primal=22916.5, relaxed_dual=22775.4, grad_l2=10.1678, infea_inf(ratio=max/min)=e^(120.001), int_gap=644.464, pow_l1=4.09288e+10, time=28.2738
iter=14, primal_obj=3063.06, best_primal_obj=3063.06, dual_obj=22760.5, relaxed_primal=22852.4, relaxed_dual=22760.6, grad_l2=10.2788, infea_inf(ratio=max/min)=e^(120.072), int_gap=651.697, pow_l1=4.14319e+10, time=29.8118
iter=15, primal_obj=2243.83, best_primal_obj=3063.06, dual_obj=22747.3, relaxed_primal=22890.4, relaxed_dual=22747.4, grad_l2=10.452, infea_inf(ratio=max/min)=e^(120.33), int_gap=655.15, pow_l1=4.195e+10, time=31.3415
iter=16, primal_obj=2297.92, best_primal_obj=3063.06, dual_obj=22734.3, relaxed_primal=22857.9, relaxed_dual=22734.4, grad_l2=11.1138, infea_inf(ratio=max/min)=e^(120), int_gap=656.906, pow_l1=4.24811e+10, time=32.8755
iter=17, primal_obj=3472.54, best_primal_obj=3472.54, dual_obj=22725.8, relaxed_primal=22876.9, relaxed_dual=22725.9, grad_l2=10.6597, infea_inf(ratio=max/min)=e^(120), int_gap=652.932, pow_l1=4.30656e+10, time=34.4346
