reading uai file ../../../data//Segmentation/uai/16_16_s.21.uai
done reading uai file
normalizing #tables=842
prob.avg_domain_size=21
prob.N=1
param.rho=1
param.eta=1
@0: T=226, n=276402, nf=0, m=0, me=26098
iter=0, #inner=1, relaxed-p-obj=-4.794199, decoded_t=-378.1572, best_decoded=-378.1572, eta=1, p_inf=0.89, d_inf=0.33, gap=36, nnz=661(0.0074), time=0.17
iter=5, #inner=78, relaxed-p-obj=-246.7136, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=0.11, d_inf=0.013, gap=0.026, nnz=1876(0.012), time=0.36
iter=10, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=4.5e-12, d_inf=1e-12, gap=1.7e-12, nnz=842(0.0061), time=0.57
iter=15, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=8.8e-13, d_inf=9.9e-13, gap=8.8e-14, nnz=842(0.0061), time=0.76
iter=20, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.3e-13, d_inf=9.9e-13, gap=1.6e-13, nnz=842(0.0061), time=0.96
iter=25, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.3e-13, d_inf=1e-12, gap=1.4e-13, nnz=842(0.0061), time=1.2
iter=30, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.6e-13, d_inf=9.9e-13, gap=2e-14, nnz=842(0.0061), time=1.3
iter=35, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.7e-13, d_inf=1e-12, gap=1.1e-13, nnz=842(0.0061), time=1.5
iter=40, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=1.1e-13, nnz=842(0.0061), time=1.7
iter=45, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=3.6e-14, nnz=842(0.0061), time=1.9
iter=50, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.1e-13, d_inf=9.9e-13, gap=1.4e-13, nnz=842(0.0061), time=2.1
iter=55, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.1e-13, d_inf=9.8e-13, gap=1e-13, nnz=842(0.0061), time=2.3
iter=60, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.5e-13, d_inf=1e-12, gap=7.7e-14, nnz=842(0.0061), time=2.4
iter=65, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.6e-13, d_inf=9.9e-13, gap=1.7e-13, nnz=842(0.0061), time=2.6
iter=70, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.6e-13, d_inf=9.9e-13, gap=1.3e-13, nnz=842(0.0061), time=2.8
iter=75, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.1e-13, d_inf=9.9e-13, gap=1.5e-14, nnz=842(0.0061), time=2.9
iter=80, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=7.7e-14, nnz=842(0.0061), time=3.1
iter=85, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=9.9e-13, gap=3e-14, nnz=842(0.0061), time=3.2
