reading uai file ../../../data//Segmentation/uai/16_16_s.21.uai
done reading uai file
normalizing #tables=842
prob.N=1
param.gamma=0.0001
iter=0, primal_obj=-366.207, best_primal_obj=-366.207, dual_obj=0, relaxed_primal=0, relaxed_dual=0, grad_l2=0.290686, infea_inf(ratio=max/min)=e^(120), int_gap=615, pow_l1=3.54306e+09, time=0.121705
iter=1, primal_obj=-381.083, best_primal_obj=-366.207, dual_obj=-14.0476, relaxed_primal=-0.188398, relaxed_dual=-14.0476, grad_l2=0.289922, infea_inf(ratio=max/min)=e^(120), int_gap=615, pow_l1=3.54381e+09, time=0.140977
iter=2, primal_obj=-379.898, best_primal_obj=-366.207, dual_obj=-27.9621, relaxed_primal=-0.236848, relaxed_dual=-27.9621, grad_l2=0.290041, infea_inf(ratio=max/min)=e^(120), int_gap=615, pow_l1=3.54454e+09, time=0.1603
iter=3, primal_obj=-391.57, best_primal_obj=-366.207, dual_obj=-41.7462, relaxed_primal=-0.840159, relaxed_dual=-41.7462, grad_l2=0.288677, infea_inf(ratio=max/min)=e^(120), int_gap=614, pow_l1=3.54528e+09, time=0.179446
iter=4, primal_obj=-388.368, best_primal_obj=-366.207, dual_obj=-55.3687, relaxed_primal=-1.6733, relaxed_dual=-55.3687, grad_l2=0.288693, infea_inf(ratio=max/min)=e^(120.003), int_gap=613.003, pow_l1=3.54602e+09, time=0.198616
iter=5, primal_obj=-400.653, best_primal_obj=-366.207, dual_obj=-68.9011, relaxed_primal=-1.57015, relaxed_dual=-68.901, grad_l2=0.288137, infea_inf(ratio=max/min)=e^(120.584), int_gap=613.442, pow_l1=3.54674e+09, time=0.217751
iter=6, primal_obj=-393.437, best_primal_obj=-366.207, dual_obj=-82.2748, relaxed_primal=-2.77082, relaxed_dual=-82.2748, grad_l2=0.286302, infea_inf(ratio=max/min)=e^(120.091), int_gap=612.094, pow_l1=3.54748e+09, time=0.236867
iter=7, primal_obj=-412.944, best_primal_obj=-366.207, dual_obj=-95.4615, relaxed_primal=-3.90313, relaxed_dual=-95.4615, grad_l2=0.284696, infea_inf(ratio=max/min)=e^(120.534), int_gap=611.414, pow_l1=3.5482e+09, time=0.25609
iter=8, primal_obj=-438.317, best_primal_obj=-366.207, dual_obj=-108.377, relaxed_primal=-7.57505, relaxed_dual=-108.377, grad_l2=0.281789, infea_inf(ratio=max/min)=e^(120.009), int_gap=608.009, pow_l1=3.54893e+09, time=0.275249
iter=9, primal_obj=-462.351, best_primal_obj=-366.207, dual_obj=-120.898, relaxed_primal=-10.9845, relaxed_dual=-120.898, grad_l2=0.273559, infea_inf(ratio=max/min)=e^(120), int_gap=603, pow_l1=3.54965e+09, time=0.294365
iter=10, primal_obj=-487.268, best_primal_obj=-366.207, dual_obj=-132.573, relaxed_primal=-23.658, relaxed_dual=-132.573, grad_l2=0.261112, infea_inf(ratio=max/min)=e^(120.652), int_gap=566.281, pow_l1=3.55038e+09, time=0.313715
iter=11, primal_obj=-467.329, best_primal_obj=-366.207, dual_obj=-142.304, relaxed_primal=-51.359, relaxed_dual=-142.3, grad_l2=0.248249, infea_inf(ratio=max/min)=e^(120), int_gap=457.693, pow_l1=3.55123e+09, time=0.3331
