TRWS  Tests ...
loading .h5 file ../../../data/color-seg-n4//palm-small.h5................done
algorithm constructing...
algorithm starting...
best_value=-12562.3, lower_bound=11866.9, time=0.675581
best_value=-12448.4, lower_bound=12058.5, time=0.882793
best_value=-12378.2, lower_bound=12125.8, time=1.08825
best_value=-12350, lower_bound=12159.1, time=1.2936
best_value=-12328.6, lower_bound=12178.6, time=1.50051
best_value=-12311.4, lower_bound=12191, time=1.70576
best_value=-12300.9, lower_bound=12199.5, time=1.97179
best_value=-12294.8, lower_bound=12205.7, time=2.19487
best_value=-12283.8, lower_bound=12210.4, time=2.38104
best_value=-12277.6, lower_bound=12214.2, time=2.56951
best_value=-12274.3, lower_bound=12217.3, time=2.7559
best_value=-12271.4, lower_bound=12219.8, time=2.97335
best_value=-12270.1, lower_bound=12222, time=3.15919
best_value=-12266.9, lower_bound=12223.8, time=3.34603
best_value=-12260.7, lower_bound=12225.4, time=3.53152
best_value=-12258.6, lower_bound=12226.7, time=3.71884
best_value=-12253.3, lower_bound=12227.9, time=3.90416
best_value=-12252.2, lower_bound=12229, time=4.08978
best_value=-12250.7, lower_bound=12230, time=4.30691
best_value=-12246.7, lower_bound=12230.8, time=4.4924
best_value=-12246.4, lower_bound=12231.5, time=4.67885
best_value=-12246.1, lower_bound=12232.2, time=4.86504
best_value=-12244.4, lower_bound=12232.8, time=5.05114
best_value=-12244.2, lower_bound=12233.3, time=5.23515
best_value=-12244.2, lower_bound=12233.7, time=5.41968
best_value=-12244, lower_bound=12234.1, time=5.6034
best_value=-12242.6, lower_bound=12234.4, time=5.78697
best_value=-12242.6, lower_bound=12234.7, time=5.97112
best_value=-12240.7, lower_bound=12234.9, time=6.15493
best_value=-12240.6, lower_bound=12235.2, time=6.37267
best_value=-12239.4, lower_bound=12235.3, time=6.55694
best_value=-12239.4, lower_bound=12235.5, time=6.74057
best_value=-12239.3, lower_bound=12235.6, time=6.92409
best_value=-12239.3, lower_bound=12235.8, time=7.10751
best_value=-12239.2, lower_bound=12235.9, time=7.29098
best_value=-12239.2, lower_bound=12236, time=7.47606
best_value=-12239.2, lower_bound=12236, time=7.66132
best_value=-12239.2, lower_bound=12236.1, time=7.84487
best_value=-12239.2, lower_bound=12236.2, time=8.03032
best_value=-12238.4, lower_bound=12236.2, time=8.21556
