TRWS  Tests ...
loading .h5 file ../../../data/color-seg-n8//crops-small.h5................done
algorithm constructing...
algorithm starting...
best_value=-11918.4, lower_bound=11698.5, time=1.08935
best_value=-11888.5, lower_bound=11801.4, time=1.45116
best_value=-11877.1, lower_bound=11828, time=1.8136
best_value=-11872.3, lower_bound=11838.6, time=2.21575
best_value=-11867.5, lower_bound=11843.9, time=2.62099
best_value=-11863.9, lower_bound=11846.9, time=3.0196
best_value=-11861.8, lower_bound=11848.6, time=3.38284
best_value=-11860.2, lower_bound=11849.8, time=3.7855
best_value=-11859, lower_bound=11850.7, time=4.14854
best_value=-11858.7, lower_bound=11851.2, time=4.51747
best_value=-11857.1, lower_bound=11851.6, time=4.9491
best_value=-11856.3, lower_bound=11851.9, time=5.31134
best_value=-11856.1, lower_bound=11852.1, time=5.70696
best_value=-11856.1, lower_bound=11852.3, time=6.06459
best_value=-11856.1, lower_bound=11852.4, time=6.4205
best_value=-11856.1, lower_bound=11852.5, time=6.7769
best_value=-11856.1, lower_bound=11852.6, time=7.13299
best_value=-11855.6, lower_bound=11852.7, time=7.48914
best_value=-11855.2, lower_bound=11852.8, time=7.88392
best_value=-11854.6, lower_bound=11852.8, time=8.24029
best_value=-11854.5, lower_bound=11852.9, time=8.60591
best_value=-11854.4, lower_bound=11852.9, time=8.96696
best_value=-11854.4, lower_bound=11852.9, time=9.36577
best_value=-11854.4, lower_bound=11852.9, time=9.7279
best_value=-11854.1, lower_bound=11852.9, time=10.0893
best_value=-11854, lower_bound=11853, time=10.4504
best_value=-11853.8, lower_bound=11853, time=10.8118
best_value=-11853.8, lower_bound=11853, time=11.1975
best_value=-11853.8, lower_bound=11853, time=11.5615
best_value=-11853.8, lower_bound=11853, time=11.9234
best_value=-11853.7, lower_bound=11853, time=12.2844
best_value=-11853.7, lower_bound=11853, time=12.6817
best_value=-11853.7, lower_bound=11853, time=13.0427
best_value=-11853.7, lower_bound=11853, time=13.4043
best_value=-11853.7, lower_bound=11853, time=13.7656
best_value=-11853.7, lower_bound=11853, time=14.1276
best_value=-11853.7, lower_bound=11853.1, time=14.4917
best_value=-11853.7, lower_bound=11853.1, time=14.8531
best_value=-11853.7, lower_bound=11853.1, time=15.2148
best_value=-11853.6, lower_bound=11853.1, time=15.6157
best_value=-11853.6, lower_bound=11853.1, time=15.9771
best_value=-11853.6, lower_bound=11853.1, time=16.3387
best_value=-11853.6, lower_bound=11853.1, time=16.7003
best_value=-11853.6, lower_bound=11853.1, time=17.0611
best_value=-11853.6, lower_bound=11853.1, time=17.4229
best_value=-11853.6, lower_bound=11853.1, time=17.789
best_value=-11853.5, lower_bound=11853.1, time=18.1559
best_value=-11853.5, lower_bound=11853.1, time=18.5426
best_value=-11853.5, lower_bound=11853.1, time=18.9111
best_value=-11853.5, lower_bound=11853.1, time=19.2673
best_value=-11853.5, lower_bound=11853.1, time=19.6232
best_value=-11853.5, lower_bound=11853.1, time=19.9808
best_value=-11853.5, lower_bound=11853.1, time=20.3392
best_value=-11853.5, lower_bound=11853.1, time=20.7007
best_value=-11853.2, lower_bound=11853.1, time=21.0583
best_value=-11853.2, lower_bound=11853.1, time=21.4464
